COD;PAIS;PROV;PCIA;DPTO;DEP;ANO;CATE17;CANTIDAD2017;2016;CATE16;CANTIDAD2016;2015;CATE15;CANTIDAD2015
32;Argentina;18;Corrientes;7;Bella Vista;2017;padrillos;130;2016;padrillos;105;2015;padrillos;70
32;Argentina;18;Corrientes;14;Beron De Astrada;2017;padrillos;28;2016;padrillos;16;2015;padrillos;4
32;Argentina;18;Corrientes;21;Capital;2017;padrillos;95;2016;padrillos;57;2015;padrillos;18
32;Argentina;18;Corrientes;28;Concepcion;2017;padrillos;135;2016;padrillos;109;2015;padrillos;40
32;Argentina;18;Corrientes;35;Curuzu Cuatia;2017;padrillos;1152;2016;padrillos;1028;2015;padrillos;959
32;Argentina;18;Corrientes;42;Empedrado;2017;padrillos;181;2016;padrillos;152;2015;padrillos;12
32;Argentina;18;Corrientes;49;Esquina;2017;padrillos;450;2016;padrillos;362;2015;padrillos;253
32;Argentina;18;Corrientes;56;General Alvear;2017;padrillos;79;2016;padrillos;53;2015;padrillos;10
32;Argentina;18;Corrientes;63;General Paz;2017;padrillos;159;2016;padrillos;112;2015;padrillos;39
32;Argentina;18;Corrientes;70;Goya;2017;padrillos;540;2016;padrillos;516;2015;padrillos;314
32;Argentina;18;Corrientes;77;Itati;2017;padrillos;84;2016;padrillos;59;2015;padrillos;5
32;Argentina;18;Corrientes;84;Ituzaingo;2017;padrillos;434;2016;padrillos;387;2015;padrillos;253
32;Argentina;18;Corrientes;91;Lavalle;2017;padrillos;227;2016;padrillos;170;2015;padrillos;121
32;Argentina;18;Corrientes;98;Mburucuya;2017;padrillos;55;2016;padrillos;28;2015;padrillos;3
32;Argentina;18;Corrientes;105;Mercedes;2017;padrillos;432;2016;padrillos;226;2015;padrillos;76
32;Argentina;18;Corrientes;112;Monte Caseros;2017;padrillos;118;2016;padrillos;90;2015;padrillos;45
32;Argentina;18;Corrientes;119;Paso De Los Libres;2017;padrillos;235;2016;padrillos;146;2015;padrillos;33
32;Argentina;18;Corrientes;126;Saladas;2017;padrillos;111;2016;padrillos;92;2015;padrillos;19
32;Argentina;18;Corrientes;133;San Cosme;2017;padrillos;93;2016;padrillos;56;2015;padrillos;17
32;Argentina;18;Corrientes;140;San Luis Del Palmar;2017;padrillos;229;2016;padrillos;112;2015;padrillos;5
32;Argentina;18;Corrientes;147;San Martin;2017;padrillos;292;2016;padrillos;164;2015;padrillos;50
32;Argentina;18;Corrientes;154;San Miguel;2017;padrillos;168;2016;padrillos;136;2015;padrillos;74
32;Argentina;18;Corrientes;161;San Roque;2017;padrillos;246;2016;padrillos;183;2015;padrillos;131
32;Argentina;18;Corrientes;168;Santo Tome;2017;padrillos;272;2016;padrillos;220;2015;padrillos;113
32;Argentina;18;Corrientes;175;Sauce;2017;padrillos;176;2016;padrillos;174;2015;padrillos;130
